Date,DayName,StartOfWeek,StartOfMonth,StartOfQuarter,MonthName,MonthNumber,StartOfYear,Year
2020-07-30,Thursday,2020-07-27,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-07-31,Friday,2020-07-27,2020-07-01,2020-07-01,July,7,2020-01-01,2020
2020-08-01,Saturday,2020-07-27,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-02,Sunday,2020-07-27,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-03,Monday,2020-08-03,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-04,Tuesday,2020-08-03,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-05,Wednesday,2020-08-03,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-06,Thursday,2020-08-03,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-07,Friday,2020-08-03,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-08,Saturday,2020-08-03,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-09,Sunday,2020-08-03,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-10,Monday,2020-08-10,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-11,Tuesday,2020-08-10,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-12,Wednesday,2020-08-10,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-13,Thursday,2020-08-10,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-14,Friday,2020-08-10,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-15,Saturday,2020-08-10,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-16,Sunday,2020-08-10,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-17,Monday,2020-08-17,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-18,Tuesday,2020-08-17,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-19,Wednesday,2020-08-17,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-20,Thursday,2020-08-17,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-21,Friday,2020-08-17,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-22,Saturday,2020-08-17,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-23,Sunday,2020-08-17,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-24,Monday,2020-08-24,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-25,Tuesday,2020-08-24,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-26,Wednesday,2020-08-24,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-27,Thursday,2020-08-24,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-28,Friday,2020-08-24,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-29,Saturday,2020-08-24,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-30,Sunday,2020-08-24,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-08-31,Monday,2020-08-31,2020-08-01,2020-07-01,August,8,2020-01-01,2020
2020-09-01,Tuesday,2020-08-31,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-02,Wednesday,2020-08-31,2020-09-01,2020-07-01,September,9,2020-01-01,2020
2020-09-03,Thursday,2020-08-31,2020-09-01,2020-07-01,September,9,2020-01-01,2020
